#mat2dat ANONYMIZED.mat -n2 -D -R
#$Id: mat2dat.c,v 1.10 2010/02/10 06:59:09 avi Exp avi $
#frame    dx(mm)    dy(mm)    dz(mm)    X(deg)    Y(deg)    Z(deg)     scale
     1   -1.3472    2.2737   -4.0064   -6.2649    1.5168    0.5455    0.9943
     2   -1.3076    2.3165   -3.9591   -6.2020    1.5456    0.5610    0.9966
     3   -1.4411    2.2566   -3.9791   -6.1806    1.7587    0.3600    0.9982
     4   -1.4294    2.2630   -4.0227   -6.1335    1.7398    0.3598    0.9989
     5   -1.4007    2.2250   -4.0327   -6.0785    1.7592    0.3415    0.9994
     6   -1.3890    2.2373   -4.0839   -5.9904    1.7697    0.3382    1.0010
     7   -1.3719    2.1945   -3.9047   -6.2836    1.6679    0.4407    1.0058
     8   -1.3576    2.4008   -3.4279   -6.6711    1.5806    0.4687    1.0051
     9   -1.3196    2.4422   -3.3707   -6.8176    1.5175    0.5509    1.0065
    10   -1.3172    2.3728   -3.3470   -6.8112    1.5548    0.5544    1.0032
    11   -1.3105    2.3089   -3.3510   -6.7364    1.5420    0.5081    1.0034
    12   -1.3162    2.3251   -3.2990   -6.7135    1.5616    0.4808    1.0015
    13   -1.3459    2.3832   -3.3190   -6.6755    1.5740    0.4249    1.0018
    14   -1.3384    2.3245   -3.2644   -6.7391    1.5553    0.4411    1.0001
    15   -1.3135    2.3266   -3.2123   -6.7359    1.5438    0.4327    1.0009
    16   -1.3146    2.4126   -3.1637   -6.7548    1.5179    0.4629    1.0014
    17   -1.2922    2.2668   -3.1152   -6.7217    1.5275    0.4664    1.0020
    18   -1.3175    2.3083   -3.0098   -6.7656    1.4848    0.4738    0.9980
    19   -1.2882    2.4045   -3.1297   -6.7801    1.5391    0.5171    1.0013
    20   -1.2574    2.3773   -3.1624   -6.8208    1.4546    0.7598    0.9975
    21   -1.2104    2.2508   -3.3136   -6.7406    1.3853    0.9759    0.9985
    22   -1.3791    2.3780   -3.2842   -6.8485    1.3774    0.7857    0.9958
    23   -1.5187    2.0946   -3.1903   -6.7384    1.3805    0.5268    1.0098
    24   -1.7561    2.2316   -3.1452   -6.7505    1.4166    0.4923    0.9880
    25   -1.7577    2.3058   -3.8421   -6.6817    1.5514    0.4987    1.0202
    26   -1.7153    2.2987   -4.0354   -6.9650    1.5898    0.5069    1.0117
    27   -1.7777    2.2976   -3.9012   -6.7265    1.6348    0.4837    0.9914
    28   -1.6891    2.2357   -3.8083   -6.7470    1.6014    0.5215    1.0060
    29   -1.5911    2.3045   -3.6449   -6.7147    1.6886    0.6323    0.9965
    30   -1.5465    2.2957   -3.6330   -6.6464    1.7324    0.6132    0.9990
    31   -1.4727    2.3584   -3.5695   -6.6625    1.7355    0.6674    0.9954
    32   -1.4998    2.3800   -3.7496   -6.7344    1.7397    0.6682    0.9998
    33   -1.5527    2.2948   -3.6559   -6.7336    1.7076    0.6178    0.9914
    34   -1.6118    2.3478   -3.6917   -6.8009    1.6977    0.5855    0.9945
    35   -1.5778    2.4384   -3.6582   -6.8369    1.6854    0.5845    0.9912
    36   -1.5266    2.3871   -3.6961   -6.8972    1.6730    0.6212    0.9975
    37   -1.5241    2.3735   -3.7072   -6.8141    1.6460    0.6161    0.9938
