#mat2dat ANONYMIZED.mat -n2 -D -R
#$Id: mat2dat.c,v 1.10 2010/02/10 06:59:09 avi Exp avi $
#frame    dx(mm)    dy(mm)    dz(mm)    X(deg)    Y(deg)    Z(deg)     scale
    38   -1.4469    2.5168   -3.8569   -6.9658    1.6460    0.6833    1.0001
    39   -1.4201    2.3653   -3.8135   -6.9630    1.5797    0.7619    0.9958
    40   -1.3921    2.4546   -3.7824   -7.1455    1.4355    0.9199    1.0036
    41   -1.4278    2.5587   -3.8634   -7.3686    1.3464    1.0038    1.0045
    42   -1.3111    2.4543   -3.7266   -7.9131    1.2889    1.0907    0.9961
    43   -1.1872    2.4974   -3.5861   -7.9330    1.2799    1.1608    0.9947
    44   -1.2221    2.5683   -3.7263   -7.9277    1.3294    1.1679    1.0024
    45   -1.2457    2.4618   -3.6054   -7.9224    1.3023    1.1390    0.9965
    46   -1.2395    2.5615   -3.6925   -7.9665    1.3053    1.1743    1.0003
    47   -1.2203    2.5053   -3.6807   -7.9036    1.2985    1.1647    0.9938
    48   -1.2706    2.5396   -3.7785   -7.8951    1.3416    1.1751    0.9980
    49   -1.2144    2.4453   -3.6319   -7.7925    1.2906    1.1521    0.9901
    50   -1.2535    2.5802   -3.7848   -7.8875    1.3159    1.1715    1.0035
    51   -1.2174    2.3887   -3.5535   -7.7201    1.2830    1.0844    0.9895
    52   -1.4003    2.7167   -4.1735   -7.8668    1.3155    1.1833    1.0262
    53   -1.2025    1.7505   -3.4928   -6.5833    1.1165    0.8900    1.0345
    54   -1.1732    2.3115   -2.2767   -7.4337    0.6229    0.7148    1.0702
    55   -1.2757    2.8681   -4.3005   -7.3568    0.8000    0.7524    1.0271
    56   -1.1520    2.0143   -4.0421   -6.4491    0.8324    0.8099    0.9961
    57   -0.9734    0.9135   -2.0872   -4.4080    0.5000    0.1609    1.0353
    58   -0.9192    0.8865   -1.2639   -2.9036    0.2455   -0.2947    0.9979
    59   -0.9082    1.1370   -1.3234   -2.7597    0.1237   -0.2179    1.0119
    60   -0.9346    1.1304   -1.3161   -2.8573    0.2256   -0.2441    1.0045
    61   -1.0680    1.1400   -1.2648   -2.9355    0.2735   -0.2947    1.0048
    62   -0.9901    1.3581   -1.0587   -2.9716    0.2974   -0.2895    0.9934
    63   -0.7863    1.3629   -0.4379   -2.7058    0.4222   -0.1088    1.0018
    64   -0.7107    0.5657   -0.0034   -2.7918    0.2661    0.1438    0.9924
    65   -0.9516    0.4176   -0.3263   -2.6155    0.4037   -0.0575    1.0041
    66   -0.8877    0.9612   -0.4283   -2.6748    0.4793   -0.0572    1.0010
    67   -0.9065    1.0365   -0.4786   -2.7223    0.4591   -0.0464    1.0030
    68   -0.9054    0.8828   -0.3478   -2.7988    0.4506   -0.0677    0.9983
    69   -0.9239    0.9603   -0.5570   -2.9173    0.5057    0.0138    1.0071
    70   -0.9245    1.0614   -0.6623   -3.0990    0.5012   -0.0108    1.0074
    71   -0.9178    1.1124   -0.7753   -3.2078    0.4662   -0.0300    1.0058
    72   -0.9569    1.1060   -0.9283   -3.1932    0.5181   -0.0153    1.0076
    73   -0.8915    1.3628   -1.1372   -3.1771    0.5925    0.0371    1.0045
    74   -0.8410    1.3184   -1.3289   -3.1688    0.5978    0.0376    0.9985
    75   -0.8887    1.5466   -1.5199   -3.2430    0.6209    0.0829    0.9988
    76   -0.8909    1.4071   -1.7275   -3.1170    0.5776   -0.0312    1.0036
    77   -1.1739    1.2766   -1.9577   -3.1746    0.6923    0.1090    0.9978
    78   -1.5011    0.8093   -1.9341   -3.0144    0.9202   -0.0358    0.9994
    79   -1.4092    0.6176   -1.5613   -2.7016    1.0239   -0.0984    1.0263
    80   -1.2961    0.8907   -1.2434   -2.7949    0.8796   -0.0104    1.0075
    81   -1.4028    0.7943   -1.4021   -2.8565    0.8555   -0.0103    1.0132
    82   -1.4948    0.6329   -1.6128   -3.0108    0.7916    0.0480    1.0151
#counting 80 out of 82 frames
#mean    -1.2694    1.9294   -2.7847   -5.6783    1.1664    0.4586    1.0034
#s.d.     0.2523    0.6644    1.2514    1.9355    0.5052    0.4259    0.0120
#rms translation (mm)         1.4391
#rms rotation (deg)           2.0452
#total rms movement at radius=50 mm     2.2927
