#mat2dat ANONYMIZED.mat -n2 -D -R
#$Id: mat2dat.c,v 1.10 2010/02/10 06:59:09 avi Exp avi $
#frame    dx(mm)    dy(mm)    dz(mm)    X(deg)    Y(deg)    Z(deg)     scale
    31   -1.1353    0.2827   -0.7186   -3.1877    1.0146    0.0219    1.0051
    32   -1.4127   -0.1219   -0.9116   -3.1428    0.8760    0.0429    1.0214
    33   -1.7646   -0.5658   -1.5732   -3.5098    0.8191    0.1388    1.0229
    34   -1.8749   -0.6456   -1.9231   -3.8086    1.0596    0.2595    1.0088
    35   -1.8901   -0.3669   -1.7129   -3.8616    1.3363    0.3977    1.0135
    36   -1.7501    0.1073   -1.2620   -3.9223    1.4898    0.3250    1.0066
    37   -1.7081    0.0431   -1.0857   -3.8408    1.4249    0.2923    1.0137
    38   -1.6460    0.0849   -0.9287   -3.7467    1.3215    0.2879    1.0084
    39   -1.6273    0.1510   -0.9098   -3.7317    1.2478    0.2790    1.0124
    40   -1.5996    0.0906   -0.8077   -3.7021    1.2039    0.2655    1.0105
    41   -1.5682    0.1174   -0.7095   -3.6604    1.1585    0.2595    1.0083
    42   -1.5252    0.1286   -0.7659   -3.6078    1.1424    0.2708    1.0100
    43   -1.5435    0.0732   -0.6336   -3.6042    1.0771    0.2462    1.0080
    44   -1.4818    0.2038   -0.7507   -3.5393    1.0967    0.2628    1.0096
    45   -1.5183    0.0816   -0.6647   -3.5567    1.1169    0.2435    1.0097
    46   -1.4961    0.1161   -0.5774   -3.4702    1.1179    0.2429    1.0025
    47   -1.4959    0.1363   -0.6195   -3.4731    1.1320    0.2464    1.0078
    48   -1.4879    0.0869   -0.5734   -3.4896    1.0975    0.2419    1.0051
    49   -1.4862    0.1284   -0.5903   -3.4465    1.0898    0.2307    1.0081
    50   -1.4871    0.0765   -0.6087   -3.4841    1.1065    0.2187    1.0109
    51   -1.4916    0.0527   -0.5695   -3.4617    1.1013    0.2041    1.0107
    52   -1.4688    0.1736   -0.6113   -3.4576    1.0945    0.2189    1.0105
    53   -1.4713    0.0433   -0.5759   -3.4738    1.0962    0.1915    1.0099
    54   -1.4468    0.1285   -0.5139   -3.4205    1.0391    0.2055    1.0065
    55   -1.4543    0.1266   -0.5790   -3.4405    1.0570    0.2019    1.0100
    56   -1.4655    0.0729   -0.4848   -3.4523    1.0536    0.1873    1.0055
    57   -1.4654    0.1541   -0.5385   -3.4301    1.0666    0.2028    1.0095
    58   -1.4897    0.0798   -0.5444   -3.4431    1.0685    0.2027    1.0078
    59   -1.4848    0.1460   -0.5069   -3.4421    1.0452    0.2056    1.0041
    60   -1.4855    0.0874   -0.5079   -3.4726    1.0506    0.1919    1.0055
    61   -1.4779    0.1196   -0.4194   -3.4384    1.0222    0.1819    1.0036
    62   -1.4806    0.1259   -0.5080   -3.4534    1.0406    0.1857    1.0084
    63   -1.4998    0.0780   -0.4042   -3.4532    1.0325    0.1569    1.0076
    64   -1.4629    0.1840   -0.4435   -3.4106    1.0141    0.1862    1.0083
    65   -1.4616    0.0539   -0.3820   -3.4087    1.0181    0.1710    1.0084
    66   -1.4377    0.1047   -0.2865   -3.3689    0.9749    0.1705    1.0022
    67   -1.4069    0.1244   -0.3215   -3.3784    0.9747    0.1921    1.0061
    68   -1.4100    0.0878   -0.2637   -3.4151    0.9906    0.1830    1.0057
    69   -1.3792    0.1477   -0.2567   -3.3534    0.9621    0.1992    1.0061
    70   -1.3769    0.1026   -0.3265   -3.3498    0.9589    0.2168    1.0078
    71   -1.3764    0.0749   -0.2438   -3.3396    0.9290    0.2104    1.0037
    72   -1.3799    0.1058   -0.1940   -3.3997    0.9250    0.2128    1.0028
    73   -1.3801    0.1157   -0.3008   -3.3514    0.9503    0.2157    1.0071
    74   -1.4069    0.0732   -0.2388   -3.4008    0.9835    0.1847    1.0062
    75   -1.4179    0.0748   -0.2920   -3.3056    0.9614    0.1888    1.0056
    76   -1.3957    0.1565   -0.2892   -3.3590    0.9662    0.1967    1.0032
    77   -1.3864    0.0745   -0.2981   -3.3547    0.9536    0.1957    1.0067
    78   -1.4188    0.0745   -0.2215   -3.3243    0.9380    0.1753    1.0053
    79   -1.3884    0.1271   -0.2520   -3.3514    0.9369    0.1884    1.0067
    80   -1.3883    0.0815   -0.3044   -3.3138    0.9551    0.1937    1.0080
    81   -1.3727    0.0605   -0.1922   -3.3382    0.9233    0.1737    1.0041
    82   -1.3329    0.1096   -0.2265   -3.3272    0.9128    0.1952    1.0041
#counting 80 out of 82 frames
#mean    -1.4179    0.1272   -0.6421   -3.3839    1.0724    0.1439    1.0077
#s.d.     0.1444    0.1548    0.3122    0.1812    0.1143    0.1038    0.0035
#rms translation (mm)         0.3772
#rms rotation (deg)           0.2381
#total rms movement at radius=50 mm     0.4306
