#mat2dat ANONYMIZED.mat -n2 -D -R
#$Id: mat2dat.c,v 1.10 2010/02/10 06:59:09 avi Exp avi $
#frame    dx(mm)    dy(mm)    dz(mm)    X(deg)    Y(deg)    Z(deg)     scale
     1   -1.4283    0.1878   -0.8041   -3.3440    1.2226    0.1261    1.0048
     2   -1.4323    0.1632   -0.7469   -3.3663    1.2313    0.1245    1.0054
     3   -1.3830    0.3103   -0.7510   -3.2947    1.2438   -0.0061    1.0042
     4   -1.3800    0.3073   -0.7519   -3.3145    1.2270   -0.0030    1.0054
     5   -1.3733    0.2566   -0.7894   -3.2951    1.2106    0.0054    1.0094
     6   -1.3788    0.2274   -0.7940   -3.3200    1.2023   -0.0135    1.0096
     7   -1.3598    0.2534   -0.7860   -3.2704    1.1722   -0.0253    1.0084
     8   -1.3451    0.3309   -0.7716   -3.3307    1.1764   -0.0101    1.0080
     9   -1.3527    0.2438   -0.7601   -3.3226    1.1534   -0.0108    1.0097
    10   -1.3422    0.2347   -0.7078   -3.2809    1.1143   -0.0066    1.0072
    11   -1.3342    0.3125   -0.7360   -3.3050    1.1263   -0.0048    1.0092
    12   -1.3200    0.2053   -0.7605   -3.2474    1.1115    0.0190    1.0105
    13   -1.3076    0.2612   -0.7222   -3.2352    1.1176    0.0003    1.0068
    14   -1.2875    0.2685   -0.8774   -3.0872    1.1424    0.0567    1.0057
    15   -1.3061    0.1945   -0.8238   -3.0418    1.1251    0.0199    1.0009
    16   -1.2884    0.1993   -0.7682   -3.1684    1.1176    0.0246    1.0024
    17   -1.2583    0.2935   -0.7782   -3.1919    1.0854    0.0621    1.0059
    18   -1.2588    0.1564   -0.7569   -3.2160    1.0698    0.0382    1.0107
    19   -1.2373    0.2003   -0.7318   -3.1868    1.0357    0.0474    1.0084
    20   -1.2560    0.2028   -0.7741   -3.1943    1.0710    0.0429    1.0110
    21   -1.2600    0.1825   -0.6795   -3.2170    1.0475    0.0306    1.0055
    22   -1.2602    0.2511   -0.7176   -3.1851    1.0634    0.0371    1.0075
    23   -1.2585    0.2738   -0.7340   -3.2194    1.0737    0.0378    1.0065
    24   -1.2718    0.1947   -0.7213   -3.2019    1.0687    0.0218    1.0068
    25   -1.2470    0.2556   -0.6763   -3.2185    1.0341    0.0366    1.0053
    26   -1.2441    0.2298   -0.7857   -3.1797    1.0420    0.0419    1.0105
    27   -1.2335    0.1778   -0.6535   -3.1615    1.0202    0.0206    1.0040
    28   -1.2170    0.2357   -0.6971   -3.2061    1.0048    0.0416    1.0073
    29   -1.1990    0.2208   -0.7410   -3.1743    1.0237    0.0371    1.0074
    30   -1.2122    0.1678   -0.6934   -3.1662    0.9843    0.0066    1.0077
